============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(113. MeV) ==> Upper Be+He Gas+Lower Be( 24.0 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z)
T  170  8 .9822757E+08   2402000E+02 -.4146E+06 -.7101E+05   .9999920 -.0023310 -.0032401
T  171  8 .9833117E+08   2402000E+02  .1912E+06 -.6261E+05   .9999435 -.0104700 -.0018296
T  172  8 .9825278E+08   2402000E+02 -.2146E+06 -.1088E+06   .9999986  .0014550  .0007656
T  173  8 .9816696E+08   2402000E+02 -.9708E+05  .4408E+06   .9999985 -.0016575  .0004094
T  174  8 .9802624E+08   2402000E+02  .2464E+06 -.1844E+06   .9999965  .0019411 -.0018246
T  175  8 .9837405E+08   2402000E+02  .2772E+06  .1141E+06   .9999969  .0016457  .0018423
T  176  8 .9810109E+08   2402000E+02  .4822E+06  .6249E+06   .9999846  .0009389  .0054627
T  177  8 .9815445E+08   2402000E+02  .2950E+06  .5658E+06   .9999814  .0026095  .0055177
T  178  8 .9823080E+08   2402000E+02  .7700E+06  .4211E+05   .9999978  .0016831 -.0012560
T  179  8 .9822126E+08   2402000E+02 -.7585E+05 -.6140E+06   .9999925  .0029461 -.0025206
T  180  8 .9830281E+08   2402000E+02  .2016E+06  .2212E+05   .9999944  .0031516  .0011579
T  181  8 .9832449E+08   2402000E+02  .2036E+06 -.3980E+06   .9999949  .0004493 -.0031728
T  182  8 .9807785E+08   2402000E+02  .1858E+06  .1607E+06   .9999993  .0010784  .0005704
T  183  8 .9826588E+08   2402000E+02 -.7145E+06 -.5165E+06   .9999968 -.0023624 -.0009534
T  184  8 .9814694E+08   2402000E+02 -.1859E+06  .7429E+06   .9999937  .0010357  .0033918
T  185  8 .9822856E+08   2402000E+02  .5813E+06  .9390E+05   .9999902  .0044316 -.0001017
T  186  8 .9826046E+08   2402000E+02 -.4673E+05 -.5776E+05   .9999987 -.0015889 -.0000107
T  187  8 .9802809E+08   2402000E+02 -.1017E+07 -.1180E+06   .9999900 -.0044706 -.0000466
T  188  8 .9841607E+08   2402000E+02 -.4038E+06  .1730E+06   .9999979 -.0006687  .0019191
T  189  8 .9854488E+08   2402000E+02 -.4230E+06 -.2160E+05   .9999986 -.0015122 -.0007773
T  190  8 .9831718E+08   2402000E+02 -.6101E+05  .2088E+06   .9999892 -.0026425  .0038104
T  191  8 .9812904E+08   2402000E+02 -.2235E+06  .1820E+06   .9999966 -.0026138 -.0002574
T  192  8 .9840538E+08   2402000E+02 -.9880E+05 -.2576E+06   .9999988 -.0005890 -.0014223
T  193  8 .9814313E+08   2402000E+02 -.4335E+06 -.2306E+06   .9999994 -.0000966 -.0010765
T  194  8 .9840544E+08   2402000E+02 -.2572E+06  .2651E+06   .9999998 -.0003277  .0004451
T  195  8 .9856833E+08   2402000E+02  .2206E+06  .3756E+06   .9999357  .0020510  .0111504
T  196  8 .9785393E+08   2402000E+02 -.2897E+06 -.2617E+06   .9999987  .0010211 -.0012718
T  197  8 .9836763E+08   2402000E+02 -.1507E+06 -.3955E+05   .9999994 -.0005742 -.0009476
T  198  8 .9862159E+08   2402000E+02 -.1058E+06  .2577E+06   .9999994  .0003237  .0010581
T  199  8 .9829407E+08   2402000E+02  .1295E+05  .1449E+06   .9999995 -.0003174  .0009345
T  200  8 .9847117E+08   2402000E+02 -.2245E+05 -.1771E+06   .9999958 -.0016126 -.0023907
T  201  8 .9824692E+08   2402000E+02 -.1329E+06  .3363E+06   .9999887 -.0032151  .0034963
T  202  8 .9831506E+08   2402000E+02 -.1850E+05 -.1379E+06   .9999998 -.0003882  .0004220
T  203  8 .9815499E+08   2402000E+02 -.1320E+06  .1758E+06   .9999948 -.0026731  .0017880
T  204  8 .9836342E+08   2402000E+02 -.4223E+06  .4323E+06   .9999967 -.0001636 -.0025446
T  205  8 .9808925E+08   2402000E+02  .2769E+06  .3556E+06   .9999988  .0011488  .0010468
T  206  8 .9829838E+08   2402000E+02  .7486E+05 -.4661E+06   .9999996 -.0005438  .0007444
T  207  8 .9837051E+08   2402000E+02  .9721E+05 -.2537E+06   .9999930  .0027523 -.0025382
T  208  8 .9825421E+08   2402000E+02  .6912E+03 -.4095E+06   .9999927  .0036028 -.0013061
T  209  8 .9826012E+08   2402000E+02 -.2919E+06  .2343E+06   .9999990  .0001091  .0013841
T  210  8 .9855122E+08   2402000E+02  .2346E+05 -.4121E+06   .9999972  .0022582 -.0007224
T  211  8 .9843214E+08   2402000E+02 -.4191E+06 -.2234E+06   .9999956 -.0029739  .0000256
T  212  8 .9803601E+08   2402000E+02  .1427E+05 -.1108E+06   .9999993  .0003576 -.0011156
T  213  8 .9806506E+08   2402000E+02 -.9442E+06 -.1937E+06   .9999948 -.0032246  .0002314
T  214  8 .9806408E+08   2402000E+02  .4693E+06 -.1353E+06   .9999952  .0030677  .0005008
T  215  8 .9825269E+08   2402000E+02  .7464E+06 -.3277E+05   .9999887  .0041360 -.0023608
T  216  8 .9852441E+08   2402000E+02 -.1476E+05  .1266E+06   .9999998 -.0002585  .0006267
T  217  8 .9846471E+08   2402000E+02 -.3461E+06 -.1596E+06   .9999976 -.0022035  .0001627
T  218  8 .9805483E+08   2402000E+02 -.3908E+06 -.9129E+05   .9999991  .0012247 -.0005040
T  219  8 .9837841E+08   2402000E+02  .6046E+06  .8371E+05   .9999914  .0041405 -.0002343
T  220  8 .9825578E+08   2402000E+02 -.7989E+06  .4558E+06   .9999971 -.0017010  .0016843
T  221  8 .9849428E+08   2402000E+02 -.7446E+05  .3190E+06   .9999953 -.0027964  .0012746
T  222  8 .9828579E+08   2402000E+02  .2529E+06 -.2692E+06   .9999873  .0043572 -.0025220
T  223  8 .9863889E+08   2402000E+02  .3060E+06  .2057E+06   .9999963  .0019877 -.0018795
T  224  8 .9826288E+08   2402000E+02 -.3264E+06  .1260E+06   .9999927 -.0037198  .0009103
T  225  8 .9845986E+08   2402000E+02  .1422E+06  .5456E+06   .9999930  .0036994 -.0005604
T  226  8 .9860763E+08   2402000E+02  .4088E+06 -.4352E+06   .9999966  .0013444 -.0022502
T  227  8 .9809698E+08   2402000E+02 -.2685E+06  .5563E+06   .9999987 -.0007084  .0014221
T  228  8 .9825042E+08   2402000E+02 -.9078E+04 -.2528E+06   .9999846  .0054959 -.0007118
T  229  8 .9810738E+08   2402000E+02 -.2826E+06 -.6681E+06   .9999897 -.0001223 -.0045422
T  230  8 .9844900E+08   2402000E+02 -.3420E+06 -.2165E+06   .9999956 -.0027695  .0010685
T  231  8 .9825339E+08   2402000E+02 -.3439E+06 -.5744E+05   .9999986 -.0010029 -.0013594
T  232  8 .9827510E+08   2402000E+02 -.3861E+06  .5459E+05   .9999969 -.0000655 -.0024912
T  233  8 .9826817E+08   2402000E+02  .6965E+06 -.4470E+06   .9999912  .0028785 -.0030477
T  234  8 .9828368E+08   2402000E+02  .8309E+06 -.4605E+05   .9999960  .0025692  .0011641
T  235  8 .9821334E+08   2402000E+02  .3999E+06 -.1613E+06   .9999994  .0010430  .0003619
T  236  8 .9848492E+08   2402000E+02  .1131E+07  .7055E+05   .9999815  .0060769  .0001209
T  237  8 .9822416E+08   2402000E+02  .4210E+06  .2885E+06   .9999983  .0018346  .0001052
T  238  8 .9832830E+08   2402000E+02  .3265E+06  .7082E+06   .9999889  .0035945  .0030566
T  239  8 .9826726E+08   2402000E+02  .1315E+06 -.2232E+06   .9999971 -.0018797 -.0015049
T  240  8 .9834861E+08   2402000E+02 -.1621E+07  .1422E+07   .9999646 -.0073961  .0040042
T  241  8 .9838163E+08   2402000E+02  .2318E+06  .5118E+06   .9999927  .0019626  .0032749
T  242  8 .9819187E+08   2402000E+02  .6208E+06 -.1017E+06   .9999992  .0010870 -.0006916
T  243  8 .9829445E+08   2402000E+02  .7780E+06  .1378E+06   .9999922  .0023280 -.0031773
T  244  8 .9823168E+08   2402000E+02  .9320E+06  .2140E+06   .9999875  .0044697  .0022271
T  245  8 .9822308E+08   2402000E+02  .2192E+06  .3517E+06   .9999916  .0040968  .0001646
T  246  8 .9842392E+08   2402000E+02 -.1758E+06 -.3915E+05   .9999989 -.0014489 -.0001318
