============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  O(109. MeV) ==> Upper Be+He Gas+Lower Be( 8.03 mm) =======
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z)
T  164  8 .8903690E+08   8030000E+01 -.6355E+05 -.5136E+05   .9999992  .0009822 -.0007958
T  165  8 .8929811E+08   8030000E+01 -.9611E+05  .8841E+05   .9999923 -.0033815 -.0019998
T  166  8 .8901994E+08   8030000E+01 -.1457E+06 -.3060E+05   .9999964 -.0022846  .0014401
T  167  8 .8885035E+08   8030000E+01  .3052E+06 -.1513E+06   .9999984 -.0006454 -.0016676
T  168  8 .8914680E+08   8030000E+01 -.2111E+06 -.7343E+05   .9999758 -.0068190  .0013602
T  169  8 .8913014E+08   8030000E+01 -.2048E+05 -.3153E+05   .9999974 -.0016562  .0015957
T  170  8 .8902711E+08   8030000E+01  .3845E+06  .2067E+06   .9999823  .0024195  .0054304
T  171  8 .8881395E+08   8030000E+01  .8088E+05  .2021E+05   .9999989  .0012602  .0007494
T  172  8 .8919344E+08   8030000E+01 -.1764E+06  .3275E+06   .9999679 -.0023458  .0076663
T  173  8 .8894449E+08   8030000E+01  .2095E+05  .2682E+06   .9999904  .0009757  .0042778
T  174  8 .8903924E+08   8030000E+01  .4702E+05  .1948E+05   .9999873  .0003031  .0050240
T  175  8 .8912278E+08   8030000E+01  .1688E+06  .6564E+05   .9999958  .0028741 -.0003269
T  176  8 .8902137E+08   8030000E+01  .2569E+06 -.1212E+06   .9999885  .0038116  .0029194
T  177  8 .8870946E+08   8030000E+01  .3074E+05 -.1347E+06   .9999982  .0011428 -.0015029
T  178  8 .8915123E+08   8030000E+01 -.1810E+06  .1019E+06   .9999969 -.0014162  .0020677
T  179  8 .8884343E+08   8030000E+01  .1002E+06 -.9004E+05   .9999947  .0012183 -.0030105
T  180  8 .8887567E+08   8030000E+01  .8164E+05  .8030E+05   .9999978 -.0016136  .0013110
T  181  8 .8893208E+08   8030000E+01  .5598E+05 -.2480E+05   .9999411  .0102238  .0036343
T  182  8 .8885540E+08   8030000E+01 -.2272E+05 -.5328E+05   .9999862  .0041862 -.0031831
T  183  8 .8884986E+08   8030000E+01 -.4117E+05  .3447E+05   .9999965 -.0024230 -.0010795
T  184  8 .8915943E+08   8030000E+01  .2242E+06 -.4300E+05   .9999984  .0015889 -.0008464
T  185  8 .8928316E+08   8030000E+01 -.5592E+05 -.1651E+06   .9999950 -.0029332 -.0012091
T  186  8 .8915322E+08   8030000E+01 -.2137E+06  .3752E+06   .9999794 -.0034371  .0054257
T  187  8 .8911806E+08   8030000E+01 -.1862E+06  .8495E+05   .9999756  .0047241  .0051523
T  188  8 .8893593E+08   8030000E+01  .1672E+05 -.7721E+05   .9999989  .0004544 -.0014439
T  189  8 .8860266E+08   8030000E+01  .3887E+06  .3035E+06   .9999563  .0045987  .0081386
T  190  8 .8883113E+08   8030000E+01  .1103E+06 -.2196E+05   .9999943  .0031290  .0012776
T  191  8 .8893382E+08   8030000E+01 -.7483E+05  .1396E+06   .9999947  .0025682  .0019986
T  192  8 .8896680E+08   8030000E+01  .3584E+05  .7367E+04   .9999981  .0006290 -.0018545
T  193  8 .8925754E+08   8030000E+01  .1126E+06 -.7713E+05   .9999983 -.0018075  .0003943
T  194  8 .8899479E+08   8030000E+01  .5714E+05 -.9171E+05   .9999944  .0010604 -.0031612
T  195  8 .8902953E+08   8030000E+01 -.6640E+05 -.7862E+05   .9999985  .0005561 -.0016327
T  196  8 .8928824E+08   8030000E+01  .2591E+06  .2779E+05   .9999929  .0035972  .0011269
T  197  8 .8879883E+08   8030000E+01 -.1452E+06  .3384E+05   .9999976  .0009126 -.0020155
T  198  8 .8900396E+08   8030000E+01  .4097E+05  .3050E+05   .9999177  .0027482 -.0125297
T  199  8 .8893661E+08   8030000E+01  .2052E+05 -.1414E+06   .9999862 -.0040252  .0033641
T  200  8 .8920412E+08   8030000E+01 -.1479E+06 -.2655E+05   .9999981  .0012872 -.0014971
T  201  8 .8911865E+08   8030000E+01 -.1512E+05 -.3496E+05   .9999935 -.0034999 -.0008383
T  202  8 .8881316E+08   8030000E+01  .4044E+05  .1576E+06   .9999952 -.0020306  .0023464
T  203  8 .8924123E+08   8030000E+01 -.6720E+05  .2749E+06   .9999985 -.0011569  .0013013
T  204  8 .8885259E+08   8030000E+01  .2142E+06  .1155E+06   .9999950  .0027607  .0015664
T  205  8 .8905003E+08   8030000E+01 -.6652E+05  .1071E+06   .9999983  .0005515  .0017653
T  206  8 .8899842E+08   8030000E+01 -.2398E+06  .9292E+05   .9999948 -.0030077 -.0011298
T  207  8 .8904465E+08   8030000E+01  .2891E+05  .7885E+04   .9999913 -.0016974  .0038189
T  208  8 .8916935E+08   8030000E+01  .1663E+06 -.2485E+06   .9999841  .0026516 -.0049756
T  209  8 .8910201E+08   8030000E+01  .2673E+05 -.8966E+05   .9999970  .0024544  .0001272
T  210  8 .8904029E+08   8030000E+01  .1747E+06  .1548E+06   .9999870  .0033474  .0038532
T  211  8 .8894082E+08   8030000E+01 -.1535E+06  .2258E+06   .9999930 -.0020067  .0031449
T  212  8 .8901322E+08   8030000E+01  .6120E+05  .6092E+05   .9999796  .0051489  .0037848
T  213  8 .8934452E+08   8030000E+01 -.1159E+06 -.5475E+05   .9999934 -.0019192 -.0030851
T  214  8 .8900664E+08   8030000E+01  .6621E+05 -.3142E+06   .9999924  .0026450 -.0028780
T  215  8 .8904864E+08   8030000E+01  .2410E+05 -.8980E+05   .9999998  .0003861 -.0004438
T  216  8 .8852583E+08   8030000E+01  .1182E+05 -.8036E+05   .9999952 -.0019549 -.0023855
T  217  8 .8908447E+08   8030000E+01 -.1604E+06  .2042E+05   .9999991 -.0003520  .0012825
T  218  8 .8912266E+08   8030000E+01  .2785E+06  .7546E+05   .9999994  .0003582  .0010561
T  219  8 .8919822E+08   8030000E+01 -.3938E+05 -.1543E+05   .9999995 -.0004152 -.0009556
T  220  8 .8912728E+08   8030000E+01  .4976E+06  .2541E+06   .9999681  .0015007  .0078420
T  221  8 .8861524E+08   8030000E+01  .3139E+05  .2183E+05   .9999851  .0036606  .0040614
T  222  8 .8916116E+08   8030000E+01  .2845E+06 -.1596E+06   .9999831  .0032141 -.0048472
T  223  8 .8923939E+08   8030000E+01  .2420E+06 -.3351E+05   .9999928  .0026860 -.0026956
T  224  8 .8862099E+08   8030000E+01 -.1042E+06  .1824E+05   .9999997 -.0000346  .0007602
T  225  8 .8884918E+08   8030000E+01 -.4829E+06 -.6149E+06   .9999471 -.0061777 -.0082209
T  226  8 .8890851E+08   8030000E+01  .6258E+05 -.3335E+05   .9999996 -.0000094 -.0008635
T  227  8 .8891341E+08   8030000E+01 -.8522E+05 -.8234E+05   .9999879 -.0000416 -.0049284
T  228  8 .8893015E+08   8030000E+01  .1898E+06  .6132E+05   .9999847  .0054612 -.0008584
T  229  8 .8898897E+08   8030000E+01 -.1019E+06  .1301E+06   .9999925  .0032958 -.0020241
T  230  8 .8877837E+08   8030000E+01 -.2536E+05  .2762E+06   .9999897  .0014945  .0042950
T  231  8 .8877411E+08   8030000E+01 -.1297E+06 -.6224E+05   .9999873 -.0033078 -.0038113
T  232  8 .8893179E+08   8030000E+01  .1389E+06  .2473E+05   .9999996 -.0008426 -.0002071
T  233  8 .8879391E+08   8030000E+01 -.9213E+05 -.9407E+05   .9999988 -.0015460 -.0000024
T  234  8 .8902199E+08   8030000E+01  .7990E+05  .1397E+06   .9999952 -.0006000  .0030237
T  235  8 .8941910E+08   8030000E+01 -.2293E+05 -.3366E+05   .9999955  .0027423 -.0012209
T  236  8 .8872792E+08   8030000E+01  .4840E+05  .1091E+05   .9999742 -.0067001  .0025743
T  237  8 .8872787E+08   8030000E+01 -.3712E+06 -.3033E+06   .9999812 -.0053217 -.0030316
T  238  8 .8881500E+08   8030000E+01  .1450E+06 -.1372E+06   .9999953  .0018132  .0024816
T  239  8 .8874895E+08   8030000E+01  .1493E+06 -.5221E+05   .9999996 -.0006807  .0005959
T  240  8 .8910478E+08   8030000E+01  .5935E+05 -.1141E+06   .9999947  .0026267 -.0019027
T  241  8 .8895334E+08   8030000E+01  .1099E+06  .2690E+06   .9999803  .0013914  .0061230
T  242  8 .8891690E+08   8030000E+01  .1431E+06  .3743E+06   .9999839  .0046190  .0033035
T  243  8 .8898531E+08   8030000E+01 -.1399E+06 -.5545E+05   .9999752 -.0065027 -.0027034
T  244  8 .8903499E+08   8030000E+01 -.9513E+05 -.1312E+06   .9999875 -.0034420 -.0036358
T  245  8 .8898177E+08   8030000E+01  .1169E+06 -.7350E+05   .9999949  .0014343 -.0028487
